,,,,,,,,
,,,,,,,,
,,,,,,,,
,numero,nome,voto,voto add,partido,uf,proposicao,data
,0,Acir Gurgacz,AP,,PDT,RO,plc 38 de 2017 plen,11.jul.2017
,1,Aécio Neves,Sim,,PSDB,MG,plc 38 de 2017 plen,11.jul.2017
,2,Airton Sandoval,Sim,,PMDB,SP,plc 38 de 2017 plen,11.jul.2017
,3,Alvaro Dias,Não,,PODEMOS,PR,plc 38 de 2017 plen,11.jul.2017
,4,Ana Amélia,Sim,,PP,RS,plc 38 de 2017 plen,11.jul.2017
,5,Ângela Portela,Não,,PDT,RR,plc 38 de 2017 plen,11.jul.2017
,6,Antonio Anastasia,Sim,,PSDB,MG,plc 38 de 2017 plen,11.jul.2017
,7,Antonio Carlos Valadares,Não,,PSB,SE,plc 38 de 2017 plen,11.jul.2017
,8,Armando Monteiro,Sim,,PTB,PE,plc 38 de 2017 plen,11.jul.2017
,9,Ataídes Oliveira,Sim,,PSDB,TO,plc 38 de 2017 plen,11.jul.2017
,10,Benedito de Lira,Sim,,PP,AL,plc 38 de 2017 plen,11.jul.2017
,11,Cássio Cunha Lima,Sim,,PSDB,PB,plc 38 de 2017 plen,11.jul.2017
,12,Cidinho Santos,Sim,,PR,MT,plc 38 de 2017 plen,11.jul.2017
,13,Ciro Nogueira,Sim,,PP,PI,plc 38 de 2017 plen,11.jul.2017
,14,Cristovam Buarque,Sim,,PPS,DF,plc 38 de 2017 plen,11.jul.2017
,15,Dalirio Beber,Sim,,PSDB,SC,plc 38 de 2017 plen,11.jul.2017
,16,Dário Berger,Sim,,PMDB,SC,plc 38 de 2017 plen,11.jul.2017
,17,Davi Alcolumbre,Sim,,DEM,AP,plc 38 de 2017 plen,11.jul.2017
,18,Edison Lobão,Sim,,PMDB,MA,plc 38 de 2017 plen,11.jul.2017
,19,Eduardo Amorim,Não,,PSDB,SE,plc 38 de 2017 plen,11.jul.2017
,20,Eduardo Braga,Não,,PMDB,AM,plc 38 de 2017 plen,11.jul.2017
,21,Eduardo Lopes,Sim,,PRB,RJ,plc 38 de 2017 plen,11.jul.2017
,22,Elmano Férrer,Sim,,PMDB,PI,plc 38 de 2017 plen,11.jul.2017
,23,Eunício Oliveira,Presidente (art,,PMDB,CE,plc 38 de 2017 plen,11.jul.2017
,24,Fátima Bezerra,Não,,PT ,RN,plc 38 de 2017 plen,11.jul.2017
,25,Fernando Bezerra Coelho,Sim,,PSB,PE,plc 38 de 2017 plen,11.jul.2017
,26,Fernando Collor,Não,,PTC,AL,plc 38 de 2017 plen,11.jul.2017
,27,Flexa Ribeiro,Sim,,PSDB,PA,plc 38 de 2017 plen,11.jul.2017
,28,Garibaldi Alves Filho,Sim,,PMDB,RN,plc 38 de 2017 plen,11.jul.2017
,29,Gladson Cameli,Sim,,PP,AC,plc 38 de 2017 plen,11.jul.2017
,30,Gleisi Hoffmann,Não,,PT,PR,plc 38 de 2017 plen,11.jul.2017
,31,Hélio José,LS,,PMDB,DF,plc 38 de 2017 plen,11.jul.2017
,32,Humberto Costa,Não,,PT,PE,plc 38 de 2017 plen,11.jul.2017
,33,Ivo Cassol,Sim,,PP,RO,plc 38 de 2017 plen,11.jul.2017
,34,Jader Barbalho,Sim,,PMDB,PA,plc 38 de 2017 plen,11.jul.2017
,35,João Alberto Souza,Sim,,PMDB,MA,plc 38 de 2017 plen,11.jul.2017
,36,João Capiberibe,Não,,PSB,AP,plc 38 de 2017 plen,11.jul.2017
,37,Jorge Viana,Não,,PT,AC,plc 38 de 2017 plen,11.jul.2017
,38,José Agripino,Sim,,DEM,RN,plc 38 de 2017 plen,11.jul.2017
,39,José Maranhão,Sim,,PMDB,PB,plc 38 de 2017 plen,11.jul.2017
,40,José Medeiros,Sim,,PSD ,MT,plc 38 de 2017 plen,11.jul.2017
,41,José Pimentel,Não,,PT,CE,plc 38 de 2017 plen,11.jul.2017
,42,José Serra,Sim,,PSDB,SP,plc 38 de 2017 plen,11.jul.2017
