id,name,party,party_n,state,description1,description2,source,twitter,facebook,instagram
1,Acir Gurgacz,PDT,12,RO,"Acir Marcos Gurgacz (Cascavel, 25 de fevereiro de 1962) é um empresário e político brasileiro. O tio do senador, Airton Gurgacz, foi vice-governador de Rondônia e o pai, Assis Gurcacz, é seu 1º suplente. Em 2014 foi reeleito senador por Rondônia.","É empresário do ramo de transporte rodoviário e urbano, comunicações (Sistema Gurgacz de Comunicação) e educacional (Fundação Assis Gurgacz), empresas de sua família, de ascendência polonesa. Migrou para Rondônia em virtude de suas atividades empresariais.",Wikipédia,acirgurgacz,AcirGurgacz,acir_gurgacz
2,Aécio Neves,PSDB,45,MG,"Aécio Neves da Cunha (Belo Horizonte, 10 de março de 1960) é um economista e político brasileiro, filiado ao Partido da Social Democracia Brasileira. É senador da República desde 2011, afastado do cargo em maio de 2017 e retornando no fim de junho. Foi o 17º governador de Minas Gerais entre 1º de janeiro de 2003 a 31 de março de 2010.","Natural de Belo Horizonte, Aécio é graduado em economia pela Pontifícia Universidade Católica de Minas Gerais (PUC Minas). É neto do ex-presidente Tancredo Neves, com quem adquiriu suas primeiras experiências políticas.",Wikipédia,aecioneves,AecioNevesOficial,aecionevesoficial
3,Airton Sandoval,PMDB,15,SP,"Airton Sandoval Santana (Itirapuã, 21 de junho de 1943) é um advogado e político brasileiro, atualmente senador por São Paulo. Foi chefe de gabinete de Alexandre Ferreira, prefeito de Franca (SP) na gestão 2012-2016.","Em 2010, foi eleito suplente do senador Aloysio Nunes (PSDB-SP). Em 2017, com a efetivação do tucano para o Ministério das Relações Exteriores, Airton Sandoval assumiu o cargo de senador.",Wikipédia,AirtonSandoval,senadorairtonsandoval,
4,Aloysio Nunes Ferreira,PSDB,45,SP,"Aloysio Nunes Ferreira Filho (São José do Rio Preto, 5 de abril de 1945) é um advogado e político brasileiro, atual ministro das Relações Exteriores do Brasil e senador da República licenciado pelo estado de São Paulo.","Foi eleito senador em 2010 e se licenciou do Senado para assumir o Ministério das Relações Exteriores, em substituição a José Serra.",Wikipédia,aloysio_nunes,aloysionunes,aloysio_nunes
5,Alvaro Dias,Podemos,19,PR,"Álvaro Fernandes Dias (Quatá, 7 de dezembro de 1944) é um historiador e político brasileiro. Filiado ao Podemos (antigo PTN), exerce atualmente o cargo de senador da República Federativa do Brasil, representando o Paraná.","Nasceu no interior de São Paulo, mas foi criado em Maringá (PR), onde foi radialista. Em Londrina, formou-se em História pela Universidade Estadual de Londrina. Iniciou a carreira política ao eleger-se vereador em 1968 pelo MDB.",Wikipédia,alvarodias_,ad.alvarodias,ad.alvarodias
6,Ana Amélia,PP,11,RS,"Ana Amélia Lemos (Lagoa Vermelha, 23 de março de 1945) é uma jornalista e política brasileira, filiada ao Partido Progressista. Trabalhou como colunista e comentarista do Grupo RBS em Brasília. É atualmente senadora pelo Rio Grande do Sul.","Concluiu o ensino médio na cidade natal e mudou-se para a capital gaúcha, Porto Alegre, para cursar Serviço Social. A senadora acabou optando pela Comunicação Social, na habilitação de Jornalismo.",Wikipédia,anaamelialemos,anaamelialm,anaamelialemos_
7,Ângela Portela,PDT,12,RR,"Ângela Maria Gomes Portela (Coreaú, 3 de fevereiro de 1962) é uma professora e política brasileira. Desde abril, a senadora está filiada ao Partido Democrático Trabalhista. Antes, era do Partido dos Trabalhadores.","Graduada pela Faculdade de Filosofia Dom José de Sobral no Ceará, é casada com o ex-governador de Roraima, Flamarion Portela, com quem tem duas filhas.",Wikipédia,angelaportelarr,angelaportelasenadora,angelaportelarr
8,Antonio Anastasia,PSDB,45,MG,"Antonio Augusto Junho Anastasia (Belo Horizonte, 9 de maio de 1961) é um político, professor e advogado brasileiro, filiado ao Partido da Social Democracia Brasileira. É graduado e mestre em Direito pela UFMG.","Anastasia foi eleito vice-governador de Minas Gerais nas eleições de 2006. Com a renúncia de Aécio Neves em março de 2010, assumiu o governo até o fim do mandato. Em 2010, elegeu-se governador de MG e em 2014 foi eleito senador com 56,73% dos votos válidos.",Wikipédia,anastasia,AntonioAnastasiaOficial,antonio.anastasia
9,Antonio Carlos Valadares,PSB,40,SE,"Antônio Carlos Valadares (Simão Dias, 6 de abril de 1943) é um químico industrial, advogado e político brasileiro atualmente senador por Sergipe.",Filho de Pedro Almeida Valadares e Josefa Matos Valadares. Estudante da Universidade Federal de Sergipe onde formou-se em Química Industrial em 1967 e em Direito em 1974.,Wikipédia,valadarespsb,ValadaresPSB,senadorvaladares
10,Armando Monteiro,PTB,14,PE,"Armando de Queiroz Monteiro Neto (Recife, 24 de fevereiro de 1952) é um administrador de empresas, industrial, advogado e políticobrasileiro. Ex-presidente da Confederação Nacional da Indústria (CNI), foi eleito senador por Pernambuco.","É filho de Armando de Queirós Monteiro Filho e Maria do Carmo Magalhães de Queiroz Monteiro. Em 1973, graduou-se em Administração de Empresas pela Fundação Getúlio Vargas e, em 1988, em Direito pela UFPE.",Wikipédia,armandoptb,armandomonteironeto,armandomonteironeto
